# Two circle equatorial rings of different altitude
13345,	0.0,	0,0,0,	0
10111,	0.0,	0,0,0,	6
13345,	0.0,	0,0,0,	12
10111,	0.0,	0,0,0,	18
13345,	0.0,	0,0,0,	24
10111,	0.0,	0,0,0,	30
13345,	0.0,	0,0,0,	36
10111,	0.0,	0,0,0,	42
13345,	0.0,	0,0,0,	48
10111,	0.0,	0,0,0,	54
13345,	0.0,	0,0,0,	60
10111,	0.0,	0,0,0,	66
13345,	0.0,	0,0,0,	72
10111,	0.0,	0,0,0,	78
13345,	0.0,	0,0,0,	84
10111,	0.0,	0,0,0,	90
13345,	0.0,	0,0,0,	96
10111,	0.0,	0,0,0,	102
13345,	0.0,	0,0,0,	108
10111,	0.0,	0,0,0,	114
13345,	0.0,	0,0,0,	120
10111,	0.0,	0,0,0,	126
13345,	0.0,	0,0,0,	132
10111,	0.0,	0,0,0,	138
13345,	0.0,	0,0,0,	144
10111,	0.0,	0,0,0,	150
13345,	0.0,	0,0,0,	156
10111,	0.0,	0,0,0,	162
13345,	0.0,	0,0,0,	168
10111,	0.0,	0,0,0,	174
13345,	0.0,	0,0,0,	180
10111,	0.0,	0,0,0,	186
13345,	0.0,	0,0,0,	192
10111,	0.0,	0,0,0,	198
13345,	0.0,	0,0,0,	204
10111,	0.0,	0,0,0,	210
13345,	0.0,	0,0,0,	216
10111,	0.0,	0,0,0,	222
13345,	0.0,	0,0,0,	228
10111,	0.0,	0,0,0,	234
13345,	0.0,	0,0,0,	240
10111,	0.0,	0,0,0,	246
13345,	0.0,	0,0,0,	252
10111,	0.0,	0,0,0,	258
13345,	0.0,	0,0,0,	264
10111,	0.0,	0,0,0,	270
13345,	0.0,	0,0,0,	276
10111,	0.0,	0,0,0,	282
13345,	0.0,	0,0,0,	288
10111,	0.0,	0,0,0,	294
13345,	0.0,	0,0,0,	300
10111,	0.0,	0,0,0,	306
13345,	0.0,	0,0,0,	312
10111,	0.0,	0,0,0,	318
13345,	0.0,	0,0,0,	324
10111,	0.0,	0,0,0,	330
13345,	0.0,	0,0,0,	336
10111,	0.0,	0,0,0,	342
13345,	0.0,	0,0,0,	348
10111,	0.0,	0,0,0,	354
